а	and,but,oh well,while
пьющий	bibacious,bibulous,boozy,sottish
пья	pya
пьянист	pianist
пьяница	boozer,drunk,drunkard,tippler,toper
пьянка	carousal
пьянов	pyanov
пьянство	heavy drinking
пьянствовать	booze,heavily,toper
пьянчуга	drunkard
пьяный	drunk,drunken,intoxicated,tipsy
пьянющий	totally hammered
пэг	peg
пэгги	peggy
пэдди	paddie,paddy
пэт	pat
пэтти	pattie,patty
пюпитр	music stand,pupitre
пюре	puree
пядь	hand,span
пялиться	gaze,stare
пяло	hoop,yoke
пясть	metacarpus
пята	heel
пятаев	pyatayev
пятачок	dime,piglet
пятерной	quintuple
пятерня	five,palm
пятеро	five
пятиатомный	pentatomic
пятиборье	pentathlon
пятигорск	pyatigorsk
пятигранник	pentahedron
пятигранный	pentahedral
пятидесятикопеечный	fifty-kopek
пятидесятый	fiftieth
пятиклассный	fifth grade
пятиконечный	five-pointed
пятилетний	five-year,quinquennial
пятисотлетие	quincentenary
пятисотый	five-hundredth
пятиться	move backward
пятиугольник	pentagon
пятиугольный	five-cornered,pentagonal
пятицентовик	jitney,nickel
пятка	heel
пятнадцатигранник	pentadecahedron
пятнадцатиугольник	pentadecagon,pentakaidecagon,quindecagon
пятнадцатый	fifteen,fifteenth
пятнадцать	fifteen
пятнистый	dappled,maculosus,spotted,spotty
пятница	friday
пятно	blemish,blot,blur,spot,stain
пятновыводитель	spot remover,stain remover
пятый	fifth
пять	five
пятьдесят	fifty
пятьсот	five hundred
пятюня	five,high five
пятёрка	five
пёс	cur,dog
пёстренький	gaudy,motley,pied
пётр	peter,pyotr
раб	slave
раблезианский	rabelaisian
рабовладелец	slave-holder,slave-owner,slaveholder,slaveowner
рабовладельческий	slave-owning,slaveholding
рабовладение	slave-owning,slaveholding,slavery
раболепно	obsequiously
раболепствовать	creep,cringe,truckle
работа	job,work
работать	be employed,be open,operate,run,work
работник	worker
работница	worker,working girl,working woman
работодатель	employer
работодательница	employer
работорговля	slave trade,slave traffic,slave-trading
работоспособность	workableness
работяга	hard worker,hunky,worker
работящий	hard-working,industrious,laborous
рабочий	draft,functioning,labourer,preliminary,viable,work,worker,working,working man,workman
рабский	servile,slave,slavish
рабство	slavery
рабыня	slave
раввин	rabbi
равелин	ravelin
равенство	equality,parity
равиль	ravil
равиоли	ravioli
равнение	alignment,dressing
равнина	plain
равно	equal
равнобедренный	isosceles
равновеликий	equal,equal-sized,equally significant,equidimensional,equigraphic,equivalent,isometric
равновероятность	equal probability,equiprobability
равновесие	balance,equilibrium
равнодействие	resultant
равнодействующая	resultant
равноденствие	equinox
равнодушие	aloofness,disinterest,disregard,indifference,nonchalance,unconcern
равнодушно	indifferently,with indifference
равнодушный	indifferent
равнозначащий	equivalent
равнозначный	equivalent
